% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Output 1), DC coupling, 10 x probe attenuation
% Time span 1.000 ms, time offset -2.372 ms, Precision acquisition mode, 100 averages
% Edge trigger: Channel A, level 783.5 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Sine, 200.000 000 Hz, 5.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2025-03-25 T 15:24:17 +0100
% Time (s), Channel A (Input 1) (V)
2.430648000000e-03, 8.958527e-01
2.431704000000e-03, 8.646643e-01
2.432760000000e-03, 8.339249e-01
2.433816000000e-03, 8.031661e-01
2.434872000000e-03, 7.729874e-01
2.435928000000e-03, 7.432412e-01
2.436984000000e-03, 7.139524e-01
2.438040000000e-03, 6.848424e-01
2.439096000000e-03, 6.565443e-01
2.440152000000e-03, 6.286259e-01
2.441208000000e-03, 6.013425e-01
2.442264000000e-03, 5.747517e-01
2.443320000000e-03, 5.487913e-01
2.444376000000e-03, 5.233740e-01
2.445432000000e-03, 4.989582e-01
2.446488000000e-03, 4.751854e-01
2.447544000000e-03, 4.519121e-01
2.448600000000e-03, 4.296537e-01
2.449656000000e-03, 4.078135e-01
2.450712000000e-03, 3.866882e-01
2.451768000000e-03, 3.662858e-01
2.452824000000e-03, 3.466316e-01
2.453880000000e-03, 3.277296e-01
2.454936000000e-03, 3.093805e-01
2.455992000000e-03, 2.918410e-01
2.457048000000e-03, 2.750881e-01
2.458104000000e-03, 2.588022e-01
2.459160000000e-03, 2.434560e-01
2.460216000000e-03, 2.283458e-01
2.461272000000e-03, 2.139902e-01
2.462328000000e-03, 2.002981e-01
2.463384000000e-03, 1.872674e-01
2.464440000000e-03, 1.749611e-01
2.465496000000e-03, 1.630934e-01
2.466552000000e-03, 1.519441e-01
2.467608000000e-03, 1.412929e-01
