alpha_deg	beta_deg	gamma_deg	sse	sum_diff
166.00	114.00	169.00	0.03748785	-0.22182456
167.00	66.00	11.00	0.03748785	-0.22182456
167.00	66.00	79.00	0.03748785	-0.22182456
167.00	66.00	101.00	0.03748785	-0.22182456
167.00	66.00	169.00	0.03748785	-0.22182456
167.00	114.00	11.00	0.03748785	-0.22182456
167.00	114.00	79.00	0.03748785	-0.22182456
167.00	114.00	101.00	0.03748785	-0.22182456
167.00	114.00	169.00	0.03748785	-0.22182456
168.00	66.00	11.00	0.03748785	-0.22182456
168.00	66.00	79.00	0.03748785	-0.22182456
168.00	66.00	101.00	0.03748785	-0.22182456
168.00	66.00	169.00	0.03748785	-0.22182456
168.00	114.00	11.00	0.03748785	-0.22182456
168.00	114.00	79.00	0.03748785	-0.22182456
168.00	114.00	101.00	0.03748785	-0.22182456
168.00	114.00	169.00	0.03748785	-0.22182456
169.00	66.00	11.00	0.03748785	-0.22182456
169.00	66.00	79.00	0.03748785	-0.22182456
169.00	66.00	101.00	0.03748785	-0.22182456
169.00	66.00	169.00	0.03748785	-0.22182456
169.00	114.00	11.00	0.03748785	-0.22182456
169.00	114.00	79.00	0.03748785	-0.22182456
169.00	114.00	101.00	0.03748785	-0.22182456
169.00	114.00	169.00	0.03748785	-0.22182456
170.00	66.00	11.00	0.03748785	-0.22182456
170.00	66.00	79.00	0.03748785	-0.22182456
170.00	66.00	101.00	0.03748785	-0.22182456
170.00	66.00	169.00	0.03748785	-0.22182456
170.00	114.00	11.00	0.03748785	-0.22182456
170.00	114.00	79.00	0.03748785	-0.22182456
170.00	114.00	101.00	0.03748785	-0.22182456
170.00	114.00	169.00	0.03748785	-0.22182456
171.00	66.00	11.00	0.03748785	-0.22182456
171.00	66.00	79.00	0.03748785	-0.22182456
171.00	66.00	101.00	0.03748785	-0.22182456
171.00	66.00	169.00	0.03748785	-0.22182456
171.00	114.00	11.00	0.03748785	-0.22182456
171.00	114.00	79.00	0.03748785	-0.22182456
171.00	114.00	101.00	0.03748785	-0.22182456
171.00	114.00	169.00	0.03748785	-0.22182456
172.00	66.00	11.00	0.03748785	-0.22182456
172.00	66.00	79.00	0.03748785	-0.22182456
172.00	66.00	101.00	0.03748785	-0.22182456
