% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 85.00 s, time offset 42.86 s, Precision acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-05-27 T 16:09:40 +0200
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-5.168307852000e+01, 1.494067e+00, 9.454032e-01
-5.160718560000e+01, 1.495490e+00, 9.916050e-01
-5.153129268000e+01, 1.498389e+00, 8.723775e-01
-5.145539976000e+01, 1.502020e+00, 1.064218e+00
-5.137950684000e+01, 1.507296e+00, 7.982333e-01
-5.130361392000e+01, 1.513008e+00, 1.120691e+00
-5.122772100000e+01, 1.519118e+00, 7.978414e-01
-5.115182808000e+01, 1.523722e+00, 1.068312e+00
-5.107593516000e+01, 1.514289e+00, 8.731322e-01
-5.100004224000e+01, 1.511215e+00, 9.944459e-01
-5.092414932000e+01, 1.510843e+00, 9.390095e-01
-5.084825640000e+01, 1.509869e+00, 9.267036e-01
-5.077236348000e+01, 1.509036e+00, 1.010810e+00
-5.069647056000e+01, 1.507658e+00, 8.529654e-01
-5.062057764000e+01, 1.506696e+00, 1.085347e+00
-5.054468472000e+01, 1.505562e+00, 7.802716e-01
-5.046879180000e+01, 1.504613e+00, 1.121209e+00
-5.039289888000e+01, 1.503844e+00, 8.184100e-01
-5.031700596000e+01, 1.504442e+00, 1.047008e+00
-5.024111304000e+01, 1.505318e+00, 8.827881e-01
-5.016522012000e+01, 1.506634e+00, 9.832315e-01
-5.008932720000e+01, 1.507718e+00, 9.569989e-01
-5.001343428000e+01, 1.508427e+00, 9.088704e-01
-4.993754136000e+01, 1.509482e+00, 1.030111e+00
-4.986164844000e+01, 1.510367e+00, 8.335681e-01
-4.978575552000e+01, 1.511738e+00, 1.104556e+00
-4.970986260000e+01, 1.513045e+00, 7.786089e-01
-4.963396968000e+01, 1.514005e+00, 1.104039e+00
-4.955807676000e+01, 1.515240e+00, 8.357340e-01
-4.948218384000e+01, 1.517279e+00, 1.027257e+00
-4.940629092000e+01, 1.519405e+00, 9.034410e-01
-4.933039800000e+01, 1.520882e+00, 9.628451e-01
-4.925450508000e+01, 1.523102e+00, 9.773780e-01
-4.917861216000e+01, 1.525961e+00, 8.895973e-01
-4.910271924000e+01, 1.527451e+00, 1.050411e+00
-4.902682632000e+01, 1.529665e+00, 8.165631e-01
-4.895093340000e+01, 1.531192e+00, 1.120707e+00
-4.887504048000e+01, 1.532939e+00, 7.826244e-01
-4.879914756000e+01, 1.534626e+00, 1.082545e+00
-4.872325464000e+01, 1.536763e+00, 8.555100e-01
-4.864736172000e+01, 1.537861e+00, 1.010547e+00
-4.857146880000e+01, 1.538985e+00, 9.234579e-01
-4.849557588000e+01, 1.540201e+00, 9.426723e-01
-4.841968296000e+01, 1.541189e+00, 9.959128e-01
-4.834379004000e+01, 1.542097e+00, 8.691869e-01
-4.826789712000e+01, 1.542970e+00, 1.071033e+00
-4.819200420000e+01, 1.543803e+00, 7.950934e-01
-4.811611128000e+01, 1.543248e+00, 1.122418e+00
-4.804021836000e+01, 1.543966e+00, 8.034886e-01
-4.796432544000e+01, 1.544215e+00, 1.062064e+00
-4.788843252000e+01, 1.545416e+00, 8.757250e-01
-4.781253960000e+01, 1.546114e+00, 9.872602e-01
-4.773664668000e+01, 1.546524e+00, 9.420719e-01
-4.766075376000e+01, 1.547357e+00, 9.221383e-01
-4.758486084000e+01, 1.548063e+00, 1.016393e+00
-4.750896792000e+01, 1.548749e+00, 8.458987e-01
-4.743307500000e+01, 1.548617e+00, 1.090124e+00
-4.735718208000e+01, 1.548972e+00, 7.789075e-01
-4.728128916000e+01, 1.549335e+00, 1.113756e+00
-4.720539624000e+01, 1.549830e+00, 8.224282e-01
-4.712950332000e+01, 1.550626e+00, 1.039893e+00
-4.705361040000e+01, 1.550833e+00, 8.877165e-01
-4.697771748000e+01, 1.551121e+00, 9.735981e-01
-4.690182456000e+01, 1.551357e+00, 9.632746e-01
-4.682593164000e+01, 1.551734e+00, 8.993089e-01
-4.675003872000e+01, 1.551678e+00, 1.036092e+00
-4.667414580000e+01, 1.552268e+00, 8.260700e-01
-4.659825288000e+01, 1.552396e+00, 1.108829e+00
-4.652235996000e+01, 1.552451e+00, 7.800125e-01
-4.644646704000e+01, 1.552212e+00, 1.094699e+00
-4.637057412000e+01, 1.552567e+00, 8.447567e-01
-4.629468120000e+01, 1.552825e+00, 1.018782e+00
-4.621878828000e+01, 1.552933e+00, 9.076404e-01
-4.614289536000e+01, 1.553346e+00, 9.540090e-01
-4.606700244000e+01, 1.553656e+00, 9.836481e-01
-4.599110952000e+01, 1.553995e+00, 8.794511e-01
-4.591521660000e+01, 1.553898e+00, 1.058551e+00
-4.583932368000e+01, 1.553856e+00, 8.055834e-01
-4.576343076000e+01, 1.554218e+00, 1.120737e+00
-4.568753784000e+01, 1.554232e+00, 7.886974e-01
-4.561164492000e+01, 1.554384e+00, 1.071505e+00
-4.553575200000e+01, 1.554699e+00, 8.637519e-01
-4.545985908000e+01, 1.554728e+00, 9.975165e-01
-4.538396616000e+01, 1.554876e+00, 9.259980e-01
-4.530807324000e+01, 1.555003e+00, 9.317833e-01
-4.523218032000e+01, 1.555071e+00, 1.001862e+00
-4.515628740000e+01, 1.555111e+00, 8.570033e-01
-4.508039448000e+01, 1.555108e+00, 1.077619e+00
-4.500450156000e+01, 1.554766e+00, 7.859000e-01
-4.492860864000e+01, 1.554871e+00, 1.120173e+00
-4.485271572000e+01, 1.555144e+00, 8.092189e-01
-4.477682280000e+01, 1.555147e+00, 1.051432e+00
-4.470092988000e+01, 1.555453e+00, 8.769978e-01
-4.462503696000e+01, 1.555944e+00, 9.851694e-01
-4.454914404000e+01, 1.555942e+00, 9.413798e-01
-4.447325112000e+01, 1.555993e+00, 9.197816e-01
-4.439735820000e+01, 1.555797e+00, 1.016656e+00
-4.432146528000e+01, 1.555893e+00, 8.480106e-01
-4.424557236000e+01, 1.556219e+00, 1.088932e+00
